Month,Tourism Revenue (INR Crore),Total Tourists,Foreign_Revenue_Percent,Seasonality_Index,Month_Num
January,1486.72,98416175,17.918039944725383,3.715330651997215,1
February,1105.56,67070591,28.39287962966695,-21.73187100648895,2
March,1426.58,93180197,18.71251633593722,4.041280619893956,3
April,1209.24,87559817,20.80696457945928,-16.10489909417165,4
May,1326.78,90414370,18.63884747280158,-5.303420941526615,5
June,1532.89,97659404,22.43147589478768,4.176880985527548,6
July,1506.48,96703481,19.938274030437523,5.585890324312132,7
August,1439.75,99471877,18.24934264883424,-0.4328930049437919,8
September,1593.0,96413518,17.675352706741084,11.656174987051527,9
October,1434.45,97720796,18.31642853034439,1.1860489963833079,10
November,1806.17,111819178,13.16941408224365,27.586082526338576,11
December,1209.66,78698291,18.70928801369539,-14.374605044373261,12
